Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.106885, 0.771103]",[0.29141],"[0.0, 1.1]",[Int64[]],0.0,Motor attached
2,"[0.124235, 0.7558]",[0.292434],"[0.00884, 1.088089]",[Int64[]],-0.02075,Motor attached
3,"[0.140177, 0.741193]",[0.293101],"[0.014918, 1.08001]",[Int64[]],-0.034908,Motor attached
4,"[0.155032, 0.727209]",[0.293536],"[0.01903, 1.074592]",[Int64[]],-0.044438,Motor attached
5,"[0.169014, 0.713781]",[0.293814],"[0.021711, 1.071079]",[Int64[]],-0.050632,Motor attached
6,"[0.182273, 0.700853]",[0.293979],"[0.023337, 1.068956]",[Int64[]],-0.05438,Motor attached
7,"[0.194921, 0.688376]",[0.294064],"[0.02418, 1.067857]",[Int64[]],-0.056323,Motor attached
8,"[0.207043, 0.676306]",[0.294091],"[0.024444, 1.067515]",[Int64[]],-0.056929,Motor attached
9,"[0.218706, 0.66461]",[0.294074],"[0.024278, 1.06773]",[Int64[]],-0.056548,Motor attached
10,"[0.229964, 0.653256]",[0.294026],"[0.023798, 1.068355]",[Int64[]],-0.055443,Motor attached
11,"[0.240861, 0.642217]",[0.293955],"[0.023092, 1.069274]",[Int64[]],-0.053818,Motor attached
12,"[0.251432, 0.631471]",[0.293867],"[0.022227, 1.070401]",[Int64[]],-0.051825,Motor attached
13,"[0.261709, 0.620997]",[0.293769],"[0.021254, 1.071671]",[Int64[]],-0.049583,Motor attached
14,"[0.271717, 0.610776]",[0.293662],"[0.020213, 1.073031]",[Int64[]],-0.047182,Motor attached
15,"[0.281478, 0.600793]",[0.293551],"[0.019133, 1.074443]",[Int64[]],-0.04469,Motor attached
16,"[0.291012, 0.591032]",[0.293438],"[0.018038, 1.075878]",[Int64[]],-0.04216,Motor attached
17,"[0.300336, 0.581481]",[0.293324],"[0.016943, 1.077314]",[Int64[]],-0.03963,Motor attached
18,"[0.309463, 0.572127]",[0.293211],"[0.015863, 1.078734]",[Int64[]],-0.037129,Motor attached
19,"[0.318408, 0.56296]",[0.2931],"[0.014804, 1.080127]",[Int64[]],-0.034678,Motor attached
20,"[0.327181, 0.553969]",[0.292991],"[0.013775, 1.081483]",[Int64[]],-0.032291,Motor attached
