Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.115232, 0.6773]",[0.414937],"[0.0, 1.1]",[Int64[]],0.0,Motor attached
2,"[0.129845, 0.664782]",[0.415984],"[0.006093, 1.090766]",[Int64[]],-0.015327,Motor attached
3,"[0.1435, 0.652531]",[0.416686],"[0.010354, 1.084399]",[Int64[]],-0.025955,Motor attached
4,"[0.156394, 0.640571]",[0.417153],"[0.013275, 1.080075]",[Int64[]],-0.033201,Motor attached
5,"[0.168662, 0.628908]",[0.417456],"[0.015202, 1.077241]",[Int64[]],-0.037962,Motor attached
6,"[0.180402, 0.617535]",[0.417639],"[0.016384, 1.075509]",[Int64[]],-0.040875,Motor attached
7,"[0.191688, 0.606441]",[0.417735],"[0.017007, 1.074599]",[Int64[]],-0.042408,Motor attached
8,"[0.202577, 0.595613]",[0.417766],"[0.01721, 1.074302]",[Int64[]],-0.042908,Motor attached
9,"[0.213117, 0.58504]",[0.417749],"[0.017101, 1.074462]",[Int64[]],-0.042638,Motor attached
10,"[0.223344, 0.574709]",[0.417697],"[0.01676, 1.07496]",[Int64[]],-0.0418,Motor attached
11,"[0.233289, 0.564607]",[0.417619],"[0.01625, 1.075704]",[Int64[]],-0.040547,Motor attached
12,"[0.24298, 0.554723]",[0.417522],"[0.015621, 1.076623]",[Int64[]],-0.038998,Motor attached
13,"[0.252437, 0.545046]",[0.417412],"[0.01491, 1.077665]",[Int64[]],-0.037245,Motor attached
14,"[0.261679, 0.535566]",[0.417293],"[0.014145, 1.078786]",[Int64[]],-0.035358,Motor attached
15,"[0.270724, 0.526273]",[0.417169],"[0.013348, 1.079956]",[Int64[]],-0.033391,Motor attached
16,"[0.279585, 0.517157]",[0.417042],"[0.012536, 1.08115]",[Int64[]],-0.031386,Motor attached
17,"[0.288274, 0.508211]",[0.416913],"[0.011722, 1.082349]",[Int64[]],-0.029372,Motor attached
18,"[0.296803, 0.499426]",[0.416785],"[0.010914, 1.083541]",[Int64[]],-0.027374,Motor attached
19,"[0.305181, 0.490796]",[0.416659],"[0.010121, 1.084714]",[Int64[]],-0.025407,Motor attached
20,"[0.313416, 0.482312]",[0.416534],"[0.009346, 1.085861]",[Int64[]],-0.023485,Motor attached
21,"[0.321517, 0.473968]",[0.416413],"[0.008593, 1.086978]",[Int64[]],-0.021615,Motor attached
22,"[0.329491, 0.465758]",[0.416295],"[0.007864, 1.088061]",[Int64[]],-0.019802,Motor attached
23,"[0.337344, 0.457677]",[0.416181],"[0.00716, 1.089109]",[Int64[]],-0.018051,Motor attached
24,"[0.345081, 0.449718]",[0.41607],"[0.006481, 1.09012]",[Int64[]],-0.016362,Motor attached
25,"[0.352708, 0.441877]",[0.415963],"[0.005829, 1.091093]",[Int64[]],-0.014736,Motor attached
26,"[0.360229, 0.434148]",[0.415859],"[0.005202, 1.092031]",[Int64[]],-0.013171,Motor attached
27,"[0.36765, 0.426528]",[0.41576],"[0.0046, 1.092932]",[Int64[]],-0.011668,Motor attached
28,"[0.374974, 0.419012]",[0.415663],"[0.004022, 1.093798]",[Int64[]],-0.010224,Motor attached
29,"[0.382205, 0.411596]",[0.415571],"[0.003467, 1.094631]",[Int64[]],-0.008836,Motor attached
30,"[0.389347, 0.404275]",[0.415482],"[0.002935, 1.095431]",[Int64[]],-0.007503,Motor attached
31,"[0.396402, 0.397048]",[0.415396],"[0.002423, 1.096201]",[Int64[]],-0.006222,Motor attached
32,"[0.403375, 0.38991]",[0.415313],"[0.001932, 1.096941]",[Int64[]],-0.004991,Motor attached
33,"[0.410427, 0.382696]",[0.415232],"[0.001458, 1.097655]",[Int64[]],-0.003803,Motor attached
34,"[0.41757, 0.375396]",[0.415154],"[0.000996, 1.098353]",[Int64[]],-0.002642,Motor attached
35,"[0.424806, 0.368005]",[0.415076],"[0.000539, 1.099044]",[Int64[]],-0.001495,Motor attached
36,"[0.432136, 0.360519]",[0.414998],"[8.4e-5, 1.099732]",[Int64[]],-0.000351,Motor attached
37,"[0.439566, 0.352932]",[0.41492],"[-0.000374, 1.100426]",[Int64[]],0.000799,Motor attached
38,"[0.447097, 0.345242]",[0.41484],"[-0.000837, 1.101128]",[Int64[]],0.001965,Motor attached
39,"[0.454734, 0.337442]",[0.414758],"[-0.001309, 1.101845]",[Int64[]],0.003154,Motor attached
40,"[0.462481, 0.329527]",[0.414675],"[-0.001792, 1.102579]",[Int64[]],0.004371,Motor attached
41,"[0.470343, 0.321492]",[0.414588],"[-0.002289, 1.103335]",[Int64[]],0.005624,Motor attached
42,"[0.478324, 0.313332]",[0.414499],"[-0.002802, 1.104116]",[Int64[]],0.006918,Motor attached
43,"[0.486431, 0.30504]",[0.414406],"[-0.003333, 1.104926]",[Int64[]],0.008259,Motor attached
44,"[0.494668, 0.296608]",[0.414309],"[-0.003885, 1.105769]",[Int64[]],0.009653,Motor attached
45,"[0.503043, 0.288031]",[0.414207],"[-0.004459, 1.106647]",[Int64[]],0.011106,Motor attached
46,"[0.511562, 0.2793]",[0.414101],"[-0.005059, 1.107566]",[Int64[]],0.012625,Motor attached
47,"[0.520233, 0.270405]",[0.413989],"[-0.005686, 1.108528]",[Int64[]],0.014214,Motor attached
48,"[0.529064, 0.261339]",[0.413872],"[-0.006344, 1.109539]",[Int64[]],0.015883,Motor attached
49,"[0.538064, 0.25209]",[0.413748],"[-0.007036, 1.110604]",[Int64[]],0.017639,Motor attached
50,"[0.547245, 0.242646]",[0.413616],"[-0.007764, 1.111727]",[Int64[]],0.019491,Motor attached
51,"[0.556616, 0.232996]",[0.413476],"[-0.008533, 1.112915]",[Int64[]],0.021448,Motor attached
52,"[0.56619, 0.223125]",[0.413328],"[-0.009348, 1.114175]",[Int64[]],0.023522,Motor attached
53,"[0.57598, 0.213017]",[0.413169],"[-0.010211, 1.115515]",[Int64[]],0.025726,Motor attached
54,"[0.586003, 0.202654]",[0.412999],"[-0.011131, 1.116944]",[Int64[]],0.028074,Motor attached
55,"[0.596275, 0.192017]",[0.412817],"[-0.012112, 1.118473]",[Int64[]],0.030584,Motor attached
56,"[0.606816, 0.181082]",[0.41262],"[-0.013162, 1.120114]",[Int64[]],0.033276,Motor attached
57,"[0.617649, 0.169823]",[0.412406],"[-0.014291, 1.121882]",[Int64[]],0.036172,Motor attached
58,"[0.628798, 0.15821]",[0.412174],"[-0.015508, 1.123795]",[Int64[]],0.039303,Motor attached
59,"[0.640293, 0.146207]",[0.411921],"[-0.016826, 1.125875]",[Int64[]],0.042701,Motor attached
60,"[0.652168, 0.133774]",[0.411642],"[-0.018262, 1.128148]",[Int64[]],0.046409,Motor attached
61,"[0.664465, 0.12086]",[0.411333],"[-0.019833, 1.130645]",[Int64[]],0.050479,Motor attached
