Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
58,"[0.523663, -0.02992]",[0.477081],"[-0.005798, 1.108642]",[Int64[]],0.01444,Motor dettached
59,"[0.524112, -0.029416]",[0.477081],"[-0.004552, 1.106443]",[Int64[]],0.010994,Motor dettached
60,"[0.524452, -0.029035]",[0.477081],"[-0.003605, 1.104776]",[Int64[]],0.008381,Motor dettached
61,"[0.524709, -0.028747]",[0.477081],"[-0.002884, 1.103509]",[Int64[]],0.006394,Motor dettached
62,"[0.524904, -0.028528]",[0.477081],"[-0.002335, 1.102546]",[Int64[]],0.004881,Motor dettached
63,"[0.525053, -0.028361]",[0.477081],"[-0.001917, 1.101812]",[Int64[]],0.003728,Motor dettached
64,"[0.525166, -0.028233]",[0.477081],"[-0.001597, 1.101252]",[Int64[]],0.002849,Motor dettached
65,"[0.525253, -0.028136]",[0.477081],"[-0.001353, 1.100824]",[Int64[]],0.002178,Motor dettached
66,"[0.525318, -0.028062]",[0.477081],"[-0.001167, 1.100498]",[Int64[]],0.001665,Motor dettached
67,"[0.525369, -0.028006]",[0.477081],"[-0.001024, 1.100249]",[Int64[]],0.001273,Motor dettached
68,"[0.525407, -0.027963]",[0.477081],"[-0.000915, 1.100058]",[Int64[]],0.000973,Motor dettached
69,"[0.525436, -0.02793]",[0.477081],"[-0.000832, 1.099912]",[Int64[]],0.000745,Motor dettached
70,"[0.525459, -0.027904]",[0.477081],"[-0.000768, 1.099801]",[Int64[]],0.000569,Motor dettached
71,"[0.525476, -0.027885]",[0.477081],"[-0.00072, 1.099716]",[Int64[]],0.000436,Motor dettached
72,"[0.525489, -0.02787]",[0.477081],"[-0.000682, 1.099651]",[Int64[]],0.000333,Motor dettached
73,"[0.525499, -0.027859]",[0.477081],"[-0.000654, 1.099601]",[Int64[]],0.000255,Motor dettached
74,"[0.525507, -0.02785]",[0.477081],"[-0.000632, 1.099563]",[Int64[]],0.000195,Motor dettached
75,"[0.525513, -0.027844]",[0.477081],"[-0.000615, 1.099534]",[Int64[]],0.000149,Motor dettached
76,"[0.525517, -0.027839]",[0.477081],"[-0.000603, 1.099511]",[Int64[]],0.000114,Motor dettached
77,"[0.525521, -0.027835]",[0.477081],"[-0.000593, 1.099494]",[Int64[]],8.7e-5,Motor dettached
78,"[0.525523, -0.027832]",[0.477081],"[-0.000585, 1.099481]",[Int64[]],6.7e-5,Motor dettached
79,"[0.525525, -0.02783]",[0.477081],"[-0.00058, 1.099471]",[Int64[]],5.1e-5,Motor dettached
80,"[0.525527, -0.027828]",[0.477081],"[-0.000575, 1.099464]",[Int64[]],3.9e-5,Motor dettached
81,"[0.525528, -0.027827]",[0.477081],"[-0.000572, 1.099458]",[Int64[]],3.0e-5,Motor dettached
82,"[0.525529, -0.027826]",[0.477081],"[-0.00057, 1.099453]",[Int64[]],2.3e-5,Motor dettached
83,"[0.52553, -0.027825]",[0.477081],"[-0.000568, 1.09945]",[Int64[]],1.8e-5,Motor dettached
84,"[0.52553, -0.027824]",[0.477081],"[-0.000566, 1.099447]",[Int64[]],1.3e-5,Motor dettached
85,"[0.525531, -0.027824]",[0.477081],"[-0.000565, 1.099445]",[Int64[]],1.0e-5,Motor dettached
86,"[0.525531, -0.027823]",[0.477081],"[-0.000564, 1.099444]",[Int64[]],8.0e-6,Motor dettached
87,"[0.525531, -0.027823]",[0.477081],"[-0.000563, 1.099443]",[Int64[]],6.0e-6,Motor dettached
88,"[0.525531, -0.027823]",[0.477081],"[-0.000563, 1.099442]",[Int64[]],5.0e-6,Motor dettached
89,"[0.525531, -0.027823]",[0.477081],"[-0.000562, 1.099441]",[Int64[]],4.0e-6,Motor dettached
90,"[0.525532, -0.027823]",[0.477081],"[-0.000562, 1.099441]",[Int64[]],3.0e-6,Motor dettached
91,"[0.525532, -0.027823]",[0.477081],"[-0.000562, 1.09944]",[Int64[]],2.0e-6,Motor dettached
92,"[0.525532, -0.027823]",[0.477081],"[-0.000562, 1.09944]",[Int64[]],2.0e-6,Motor dettached
93,"[0.525532, -0.027823]",[0.477081],"[-0.000562, 1.09944]",[Int64[]],1.0e-6,Motor dettached
94,"[0.525532, -0.027822]",[0.477081],"[-0.000562, 1.099439]",[Int64[]],1.0e-6,Motor dettached
95,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],1.0e-6,Motor dettached
96,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],1.0e-6,Motor dettached
97,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
98,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
99,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
100,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
101,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
102,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
103,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
104,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
105,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
106,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
107,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
108,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
109,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
110,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
111,"[0.525532, -0.027822]",[0.477081],"[-0.000561, 1.099439]",[Int64[]],0.0,Motor dettached
