Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.518422, 0.469552]",[0.815872],"[0.0, 1.1]",[Int64[]],0.0,Motor attached
2,"[0.525762, 0.462179]",[0.815856],"[-0.000306, 1.100356]",[Int64[]],0.000662,Motor attached
3,"[0.533197, 0.454707]",[0.815837],"[-0.000654, 1.10076]",[Int64[]],0.001413,Motor attached
4,"[0.540731, 0.447131]",[0.815816],"[-0.001039, 1.101207]",[Int64[]],0.002246,Motor attached
5,"[0.548368, 0.439449]",[0.815794],"[-0.001459, 1.101696]",[Int64[]],0.003155,Motor attached
6,"[0.556113, 0.431655]",[0.815769],"[-0.001913, 1.102223]",[Int64[]],0.004135,Motor attached
7,"[0.563971, 0.423744]",[0.815743],"[-0.002398, 1.102787]",[Int64[]],0.005185,Motor attached
8,"[0.571946, 0.415713]",[0.815715],"[-0.002914, 1.103388]",[Int64[]],0.006302,Motor attached
9,"[0.580045, 0.407554]",[0.815685],"[-0.003462, 1.104026]",[Int64[]],0.007488,Motor attached
10,"[0.588274, 0.399262]",[0.815653],"[-0.004042, 1.1047]",[Int64[]],0.008742,Motor attached
11,"[0.596638, 0.39083]",[0.815619],"[-0.004653, 1.105413]",[Int64[]],0.010066,Motor attached
12,"[0.605146, 0.382251]",[0.815584],"[-0.005299, 1.106165]",[Int64[]],0.011464,Motor attached
13,"[0.613805, 0.373517]",[0.815546],"[-0.00598, 1.106959]",[Int64[]],0.012939,Motor attached
14,"[0.622623, 0.364619]",[0.815506],"[-0.006698, 1.107797]",[Int64[]],0.014495,Motor attached
15,"[0.631609, 0.355549]",[0.815464],"[-0.007456, 1.108682]",[Int64[]],0.016138,Motor attached
16,"[0.640773, 0.346295]",[0.815419],"[-0.008257, 1.109618]",[Int64[]],0.017875,Motor attached
17,"[0.650126, 0.336846]",[0.815371],"[-0.009105, 1.110608]",[Int64[]],0.019713,Motor attached
18,"[0.659682, 0.327189]",[0.815321],"[-0.010003, 1.111658]",[Int64[]],0.021662,Motor attached
19,"[0.669452, 0.317311]",[0.815267],"[-0.010957, 1.112774]",[Int64[]],0.023731,Motor attached
20,"[0.679453, 0.307195]",[0.815209],"[-0.011972, 1.113963]",[Int64[]],0.025934,Motor dettached
21,"[0.679591, 0.307381]",[0.815209],"[-0.009676, 1.111343]",[Int64[]],0.021019,Motor dettached
22,"[0.679701, 0.307529]",[0.815209],"[-0.007823, 1.109231]",[Int64[]],0.017055,Motor dettached
23,"[0.679789, 0.307648]",[0.815209],"[-0.006325, 1.107526]",[Int64[]],0.013851,Motor dettached
