Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
2,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
3,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
4,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
5,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
6,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
7,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
8,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
9,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
10,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
11,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
12,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
13,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
14,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
15,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
16,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
17,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
18,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
19,"[0.510239, 0.016881]",[1.04239],"[0.0, 1.1]",[Int64[]],0.0,Motor dettached
