Time,FilamentPos,MotorPos,FocalTesionPos,MotorConnections,ContractileForce,Other
1,"[0.933435, 0.579118]",[0.965574],"[0.0, 1.1]",[Int64[]],0.0,Motor attached
2,"[0.944255, 0.569738]",[0.966294],"[-0.005009, 1.102848]",[Int64[]],0.007858,Motor attached
3,"[0.95525, 0.560028]",[0.966937],"[-0.009415, 1.105327]",[Int64[]],0.014743,Motor attached
4,"[0.966458, 0.549985]",[0.967519],"[-0.013363, 1.107527]",[Int64[]],0.02089,Motor attached
5,"[0.977918, 0.539603]",[0.968058],"[-0.016978, 1.109525]",[Int64[]],0.026503,Motor attached
6,"[0.989673, 0.528872]",[0.96857],"[-0.020373, 1.111386]",[Int64[]],0.031759,Motor attached
7,"[1.001702, 0.517716]",[0.969006],"[-0.023421, 1.113124]",[Int64[]],0.036546,Motor attached
8,"[1.014025, 0.506088]",[0.969354],"[-0.026131, 1.11479]",[Int64[]],0.040921,Motor attached
9,"[1.026701, 0.493964]",[0.96963],"[-0.02862, 1.116453]",[Int64[]],0.045073,Motor attached
10,"[1.039788, 0.481304]",[0.969843],"[-0.030983, 1.118175]",[Int64[]],0.049158,Motor attached
11,"[1.053353, 0.468057]",[0.970003],"[-0.033299, 1.120013]",[Int64[]],0.053311,Motor dettached
12,"[1.051945, 0.466888]",[0.970003],"[-0.026134, 1.115426]",[Int64[]],0.04156,Motor dettached
13,"[1.050868, 0.465996]",[0.970003],"[-0.020616, 1.111877]",[Int64[]],0.032493,Motor dettached
14,"[1.050037, 0.465312]",[0.970003],"[-0.016342, 1.109117]",[Int64[]],0.025459,Motor dettached
15,"[1.049394, 0.464782]",[0.970003],"[-0.013017, 1.106965]",[Int64[]],0.019981,Motor dettached
16,"[1.048893, 0.464371]",[0.970003],"[-0.010421, 1.105281]",[Int64[]],0.015702,Motor dettached
17,"[1.048502, 0.46405]",[0.970003],"[-0.00839, 1.103961]",[Int64[]],0.012351,Motor dettached
18,"[1.048196, 0.4638]",[0.970003],"[-0.006797, 1.102926]",[Int64[]],0.009723,Motor dettached
19,"[1.047957, 0.463603]",[0.970003],"[-0.005547, 1.102111]",[Int64[]],0.007658,Motor dettached
20,"[1.047768, 0.463449]",[0.970003],"[-0.004564, 1.101471]",[Int64[]],0.006035,Motor dettached
21,"[1.04762, 0.463328]",[0.970003],"[-0.003791, 1.100967]",[Int64[]],0.004758,Motor dettached
22,"[1.047504, 0.463233]",[0.970003],"[-0.003182, 1.100569]",[Int64[]],0.003752,Motor dettached
23,"[1.047412, 0.463158]",[0.970003],"[-0.002702, 1.100256]",[Int64[]],0.002959,Motor dettached
24,"[1.04734, 0.463099]",[0.970003],"[-0.002324, 1.10001]",[Int64[]],0.002334,Motor dettached
25,"[1.047283, 0.463053]",[0.970003],"[-0.002026, 1.099815]",[Int64[]],0.001842,Motor dettached
26,"[1.047238, 0.463016]",[0.970003],"[-0.001791, 1.099662]",[Int64[]],0.001453,Motor dettached
27,"[1.047203, 0.462987]",[0.970003],"[-0.001606, 1.099541]",[Int64[]],0.001147,Motor dettached
28,"[1.047175, 0.462964]",[0.970003],"[-0.00146, 1.099445]",[Int64[]],0.000905,Motor dettached
29,"[1.047153, 0.462946]",[0.970003],"[-0.001344, 1.09937]",[Int64[]],0.000714,Motor dettached
30,"[1.047135, 0.462932]",[0.970003],"[-0.001253, 1.09931]",[Int64[]],0.000564,Motor dettached
31,"[1.047122, 0.462921]",[0.970003],"[-0.001182, 1.099263]",[Int64[]],0.000445,Motor dettached
32,"[1.047111, 0.462912]",[0.970003],"[-0.001125, 1.099226]",[Int64[]],0.000351,Motor dettached
33,"[1.047102, 0.462905]",[0.970003],"[-0.00108, 1.099197]",[Int64[]],0.000277,Motor dettached
